handle,author_id,name,party,N_tweets,followers_count,following_count,tweet_count,created_at,congress,NG_score_mean,belief_share,truth_share,belief_share_2010_to_2013,truth_share_2010_to_2013,belief_share_2019_to_2022,truth_share_2019_to_2022,ideology_mean,followers_count_log,following_count_log
hoeven4senate,106733567,Hoeven for Senate,Republican,81,831.0,217.0,457.0,2010-01-20 14:42:44+00:00,115.0,91.0,0.0,0.1521739130434782,0.0,0.0,0.0,0.0,0.7978533711464861,6.7226297948554485,5.37989735354046
RepMGS,1067541214671576960,Congresswoman Mary Gay Scanlon,Democrat,3812,60842.0,1254.0,8936.0,2018-11-27 22:10:34+00:00,117.0,95.5051724137931,0.0594196222938737,0.1685859051128512,,,0.0594196222938737,0.1685859051128512,0.2700217232582301,11.016035618942716,7.134093721192866
RepChrisPappas,1067748650485497984,Rep. Chris Pappas,Democrat,2693,15073.0,639.0,2962.0,2018-11-28 11:54:50+00:00,117.0,96.29134860050893,0.0397822445561139,0.147822445561139,,,0.0397822445561139,0.147822445561139,0.3683742032018101,9.62066034281053,6.459904454377535
repkevinhern,1067818539179024000,Kevin Hern,Republican,1503,9185.0,328.0,1766.0,2018-11-28 16:32:33+00:00,116.0,82.1842105263158,0.0578512396694214,0.1542699724517906,,,0.0589060308555399,0.152875175315568,0.6689175268641394,9.125326997649227,5.793013608384144
RepKatieHill,1068273911224094976,Rep. Katie Hill,Democrat,1247,83108.0,1091.0,1269.0,2018-11-29 22:42:02+00:00,116.0,95.14347826086956,0.1152460984393757,0.1668667466986794,,,0.1147342995169082,0.1678743961352657,0.7404006366881005,11.327896245764677,6.994849985833071
RepLaMalfa,1069124515,Rep. Doug LaMalfa,Republican,1942,26104.0,1021.0,2092.0,2013-01-07 20:07:58+00:00,117.0,88.79166666666667,0.0630252100840336,0.1659663865546218,0.0434782608695652,0.1304347826086956,0.0675512665862484,0.1917973462002412,0.8714357398885053,10.169843838273156,6.928537818164665
RepSusanWild,1069636653353000960,Rep. Susan Wild,Democrat,3402,15740.0,1043.0,3713.0,2018-12-03 16:57:05+00:00,117.0,94.26148796498906,0.0968335787923416,0.1579528718703976,,,0.0963455149501661,0.1576227390180878,0.3300150643176414,9.663960521971394,6.949856455000773
RepHuffman,1071102246,Rep. Jared Huffman,Democrat,3373,44384.0,1026.0,5321.0,2013-01-08 14:52:00+00:00,117.0,94.79829545454544,0.0661494487545937,0.1980400163331972,,,0.0679245283018867,0.2108490566037736,0.2010799290218453,10.700634323114558,6.933423025730715
SenatorFischer,1071402577,Senator Deb Fischer,Republican,3436,103076.0,202.0,7762.0,2013-01-08 16:49:07+00:00,117.0,90.02830188679245,0.0395421436004162,0.1682275407561567,,,0.0457456541628545,0.1710887465690759,0.8661220825553718,11.543221859201578,5.308267697401205
RepSchneider,1071840474,Rep. Brad Schneider,Democrat,3413,18680.0,1049.0,5919.0,2013-01-08 19:59:14+00:00,117.0,95.2803867403315,0.0638510142999667,0.1616228799467908,,,0.0749885688157293,0.1627800640146319,0.4065828647245308,9.835208711782833,6.955592608396297
RepTedYoho,1071900114,Ted Yoho,Republican,2071,42594.0,340.0,2097.0,2013-01-08 20:25:18+00:00,116.0,88.4672619047619,0.0679738562091503,0.1084967320261438,0.0279720279720279,0.0629370629370629,0.0814696485623003,0.1661341853035143,0.8459664297473725,10.65946867726744,5.8289456176102075
RepChrisStewart,1072008757,Rep. Chris Stewart,Republican,3349,42610.0,441.0,4987.0,2013-01-08 21:08:19+00:00,117.0,89.85076923076923,0.0835214446952596,0.1634311512415349,,,0.0973389355742296,0.1981792717086834,0.7603358876693274,10.659844246493957,6.089044875446846
RepMikeLevin,1072134139560620032,Rep. Mike Levin,Democrat,3399,20434.0,439.0,4182.0,2018-12-10 14:21:12+00:00,117.0,95.274064171123,0.0518992102294095,0.1538172245204964,,,0.0518992102294095,0.1538172245204964,0.2768270987063493,9.924955459151368,6.0844994130751715
RepBenCline,1072158357237174016,Congressman Ben Cline,Republican,1564,15403.0,364.0,1759.0,2018-12-10 15:57:26+00:00,117.0,89.75700934579439,0.0455501051156271,0.1955150665732305,,,0.0455501051156271,0.1955150665732305,0.6853411532721614,9.642317574624458,5.8971538676367405
RepSeanMaloney,1072467470,Sean Patrick Maloney,Democrat,3347,136098.0,2181.0,8478.0,2013-01-09 01:00:33+00:00,117.0,94.8632075471698,0.0861145447053976,0.2023073753605274,,,0.0861145447053976,0.2023073753605274,0.3280349848546448,11.821130493454435,7.687538766201629
SusanWBrooks,1074101017,Susan W. Brooks,Republican,3189,22350.0,1300.0,7400.0,2013-01-09 15:30:38+00:00,116.0,92.97945205479452,0.0498137802607076,0.1154562383612663,,,0.0456852791878172,0.11082910321489,0.7065706999863257,10.014581600041716,7.170119543449628
RepVeasey,1074129612,Rep. Marc Veasey,Democrat,3362,33225.0,3285.0,6406.0,2013-01-09 15:49:27+00:00,117.0,93.56884057971014,0.0714817572598659,0.1604616530156366,,,0.0708920187793427,0.1619718309859155,0.3166599330061596,10.411057883581446,8.09712193091871
SenTedCruz,1074480192,Senator Ted Cruz,Republican,3755,2741929.0,5532.0,19390.0,2013-01-09 18:11:37+00:00,117.0,77.36496350364963,0.0549853372434017,0.1367302052785923,,,0.0549853372434017,0.1367302052785923,0.8954226627457441,14.824172245260765,8.61830469278465
SenatorBaldwin,1074518754,Sen. Tammy Baldwin,Democrat,3552,146629.0,2705.0,17848.0,2013-01-09 18:29:44+00:00,117.0,90.99447513812154,0.0811011904761904,0.144345238095238,,,0.0811011904761904,0.144345238095238,0.1857411876815758,11.89566086606108,7.902857191280582
RepDustyJohnson,1074782372594413952,Rep. Dusty Johnson,Republican,1739,14967.0,252.0,1933.0,2018-12-17 21:44:20+00:00,117.0,92.62921348314607,0.0579119086460032,0.1508972267536704,,,0.0579119086460032,0.1508972267536704,0.264851830497238,9.613603056529147,5.529429087511423
RepVanTaylor,1075040139351597056,Rep Van Taylor,Republican,1002,8957.0,492.0,1014.0,2018-12-18 14:48:37+00:00,117.0,91.35714285714286,0.0502392344497607,0.1686602870813397,,,0.0502392344497607,0.1686602870813397,0.6239471379930738,9.100190628475195,6.198478716492308
RepHarley,1075080722241736960,Archived: Rep. Harley Rouda,Democrat,1403,14059.0,330.0,1412.0,2018-12-18 17:29:52+00:00,116.0,94.43666666666668,0.0550218340611353,0.2017467248908297,,,0.0550218340611353,0.2017467248908297,0.3552752288783772,9.551018039079908,5.799092654460526
RepBryanSteil,1075205691621720064,Bryan Steil,Republican,3358,16692.0,409.0,3623.0,2018-12-19 01:46:28+00:00,117.0,89.77698863636364,0.0441988950276243,0.1160220994475138,,,0.0441988950276243,0.1160220994475138,0.6124380124119536,9.722684841711443,6.013715156042802
RepEscobar,1075517806551154944,Rep. Veronica Escobar,Democrat,3521,87409.0,1568.0,8350.0,2018-12-19 22:26:42+00:00,117.0,95.8815028901734,0.0362992474546259,0.1770694997786631,,,0.0362992474546259,0.1770694997786631,0.2406834499115656,11.378353531170458,7.357556200910353
RepPeteStauber,1075830599007511040,Pete Stauber,Republican,1857,10150.0,401.0,2081.0,2018-12-20 19:09:37+00:00,117.0,91.27542372881356,0.0646029609690444,0.1271870794078062,,,0.0646029609690444,0.1271870794078062,0.696501639949257,9.225228984469933,5.993961427306569
RepFletcher,1075904377221721984,Rep. Lizzie Fletcher,Democrat,3109,30814.0,193.0,3320.0,2018-12-21 00:02:47+00:00,117.0,97.63087606837608,0.0792751981879954,0.1981879954699886,,,0.0792751981879954,0.1981879954699886,0.3882483945857423,10.33572441114172,5.262690188904886
RepHaleyStevens,1076161611033969024,Rep. Haley Stevens,Democrat,3550,42366.0,523.0,4923.0,2018-12-21 17:04:56+00:00,117.0,94.71296296296296,0.0593832020997375,0.1758530183727034,,,0.0593832020997375,0.1758530183727034,0.3498469529010405,10.654101432744401,6.259581464064923
RepLoisFrankel,1077121945,Rep. Lois Frankel,Democrat,3650,33178.0,1646.0,10616.0,2013-01-10 16:58:38+00:00,117.0,94.7134670487106,0.0754642433820624,0.1979454760964046,,,0.0754642433820624,0.1979454760964046,0.3218722327521298,10.40964228465222,7.406103381237015
RepRWilliams,1077446982,Rep. Roger Williams,Republican,3337,17592.0,863.0,7509.0,2013-01-10 19:21:22+00:00,117.0,89.07831325301204,0.0523632993512511,0.1417979610750695,,,0.0530740935365212,0.140304781923279,0.7568431688733475,9.775199532234597,6.760414691083428
RepColinAllred,1078355119920562048,Rep. Colin Allred,Democrat,3447,45714.0,332.0,3810.0,2018-12-27 18:21:10+00:00,117.0,95.94017094017094,0.0817045818647869,0.2028196090996475,,,0.0817045818647869,0.2028196090996475,0.4271832652421047,10.730159875701064,5.805134968916488
RepSlotkin,1078401427347857024,Rep. Elissa Slotkin,Democrat,2327,87825.0,732.0,2565.0,2018-12-27 21:25:10+00:00,117.0,95.01923076923076,0.1285444234404537,0.161625708884688,,,0.1285444234404537,0.161625708884688,0.4008247453465305,11.383101477134028,6.595780513961311
RepMaxRose,1078692057940742016,Archived: Rep. Max Rose,Democrat,1556,22989.0,671.0,1560.0,2018-12-28 16:40:02+00:00,116.0,95.59833333333331,0.1427457098283931,0.1942277691107644,,,0.1427457098283931,0.1942277691107644,0.4208877265596815,10.042771119638514,6.508769136971682
SenatorRomney,1078693601356509056,Senator Mitt Romney,Republican,1818,212876.0,139.0,1952.0,2018-12-28 16:46:10+00:00,117.0,97.0546875,0.0906718851924331,0.1930854533594259,,,0.0906718851924331,0.1930854533594259,0.7246912425462104,12.268465115546439,4.9344739331306915
RepRussFulcher,1078741899572240000,Rep. Russ Fulcher,Republican,1572,10300.0,617.0,1725.0,2018-12-28 19:58:05+00:00,117.0,90.04109589041096,0.049512987012987,0.1866883116883116,,,0.049512987012987,0.1866883116883116,0.619724092253152,9.239899174217728,6.424869023905388
RepJoeNeguse,1078749802765139968,Rep. Joe Neguse,Democrat,3559,240114.0,1325.0,5316.0,2018-12-28 20:29:29+00:00,117.0,95.55457746478874,0.0434436030290952,0.1522518931845356,,,0.0434436030290952,0.1522518931845356,0.2895481464104061,12.38886908954734,7.1891677384203225
RepSpanberger,1078771401497161984,Rep. Abigail Spanberger,Democrat,3612,67942.0,1155.0,5454.0,2018-12-28 21:55:19+00:00,117.0,88.55246913580247,0.064365671641791,0.1787935323383084,,,0.064365671641791,0.1787935323383084,0.4931120350648239,11.126409679020474,7.051855622955894
RepAndyKimNJ,1078771848882594048,The Office of Congressman Andy Kim,Democrat,2851,39924.0,493.0,3062.0,2018-12-28 21:57:06+00:00,117.0,98.04195804195804,0.0945848375451263,0.1942238267148014,,,0.0945848375451263,0.1942238267148014,0.4136627884361619,10.594732925806477,6.20050917404269
RepSusieLee,1079061579973438976,Rep. Susie Lee,Democrat,3493,30860.0,551.0,6441.0,2018-12-29 17:08:23+00:00,117.0,92.33695652173913,0.0837111963725148,0.1705615626089989,,,0.0837111963725148,0.1705615626089989,0.3954873463565134,10.337216125917152,6.311734809152915
RepAOC,1079104563280526976,Rep. Alexandria Ocasio-Cortez,Democrat,1248,747091.0,580.0,1402.0,2018-12-29 19:59:11+00:00,117.0,93.46268656716418,0.0579064587973273,0.2449888641425389,,,0.0579064587973273,0.2449888641425389,0.0911693753396442,13.523942277311223,6.363028103540465
RepRashida,1079769536730141056,Congresswoman Rashida Tlaib,Democrat,1982,506687.0,355.0,2192.0,2018-12-31 16:01:33+00:00,117.0,94.65679442508711,0.0846106683016554,0.1618638871857756,,,0.0846106683016554,0.1618638871857756,0.0790458940471359,13.135648734928047,5.872117789475416
RepTimmons,1079770852302958976,Congressman William Timmons,Republican,1468,13042.0,817.0,1593.0,2018-12-31 16:06:47+00:00,117.0,92.30714285714286,0.0732265446224256,0.188787185354691,,,0.0732265446224256,0.188787185354691,0.6560629722528128,9.475930197953147,6.705639094860003
RepLoriTrahan,1079802482640018944,Congresswoman Lori Trahan,Democrat,3603,31661.0,1831.0,7460.0,2018-12-31 18:12:28+00:00,117.0,94.91517857142856,0.0952042628774422,0.1566607460035524,,,0.0952042628774422,0.1566607460035524,0.2606599727876633,10.362840918533156,7.5126175446745105
RepJasonCrow,1080191866509901952,Rep. Jason Crow,Democrat,3385,144801.0,675.0,3668.0,2019-01-01 19:59:44+00:00,117.0,94.62861736334403,0.0634636070276084,0.1907493725349587,,,0.0634636070276084,0.1907493725349587,0.3418616198796732,11.883115664987255,6.51471269087253
RepCunningham,1080198683713506944,Archived: Rep. Joe Cunningham,Democrat,1445,20733.0,113.0,1448.0,2019-01-01 20:26:50+00:00,116.0,96.31847133757962,0.0921810699588477,0.1555555555555555,,,0.0921810699588477,0.1555555555555555,0.5332272442820366,9.939481912759504,4.727387818712341
RepAngieCraig,1080222360643485952,Angie Craig,Democrat,3471,33052.0,954.0,3727.0,2019-01-01 22:00:55+00:00,117.0,95.90018484288356,0.0805729632945389,0.1504028648164727,,,0.0805729632945389,0.1504028648164727,0.4064731009651084,10.405837357821074,6.860663671448287
RepAndyLevin,1080277407867773056,Rep. Andy Levin,Democrat,3866,31073.0,2861.0,5087.0,2019-01-02 01:39:39+00:00,117.0,95.75253807106598,0.1077749683944374,0.1532869785082174,,,0.1077749683944374,0.1532869785082174,0.1816415324440558,10.344094553889349,7.95892649305011
RepElaineLuria,1080292515939565952,Rep. Elaine Luria,Democrat,3460,39549.0,485.0,4221.0,2019-01-02 02:39:41+00:00,117.0,92.47787610619469,0.0442875481386392,0.1758664955070603,,,0.0442875481386392,0.1758664955070603,0.4269796859086359,10.58529568842608,6.184148890937483
RepKimSchrier,1080462532815532032,"Rep. Kim Schrier, M.D.",Democrat,2116,14506.0,123.0,2308.0,2019-01-02 13:55:16+00:00,117.0,96.02409638554217,0.1212841854934601,0.2158145065398335,,,0.1212841854934601,0.2158145065398335,0.4136627884361619,9.582317635923358,4.812184355372417
RepMarkGreen,1080477288955826048,Rep. Mark Green,Republican,3672,57478.0,934.0,5473.0,2019-01-02 14:53:54+00:00,117.0,81.67399267399267,0.0609418282548476,0.164973838104032,,,0.0609418282548476,0.164973838104032,0.7473430634411737,10.959157544876406,6.839476438228843
repdelgado,1080485692298445056,Congressman Antonio Delgado,Democrat,3507,26566.0,84.0,4331.0,2019-01-02 15:27:18+00:00,116.0,97.08333333333331,0.0482717520858164,0.234803337306317,,,0.0482717520858164,0.234803337306317,0.426425608767782,10.187387481692449,4.430816798843313
RepRiggleman,1080504024695222016,Denver Riggleman,Republican,4059,61632.0,1518.0,7576.0,2019-01-02 16:40:09+00:00,116.0,92.44148936170212,0.1772629310344827,0.2397629310344827,,,0.1772629310344827,0.2397629310344827,0.8040804097864522,11.028936495157797,7.325148957955575
RepBillFoster,1080509366,Congressman Bill Foster,Democrat,3526,50227.0,1841.0,7072.0,2013-01-11 18:17:11+00:00,117.0,96.00868725868726,0.0751565762004175,0.1988517745302714,,,0.0751565762004175,0.1988517745302714,0.3429996649156812,10.82430800969668,7.518064181233078
RepArmstrongND,1080515866255592960,Congressman Kelly Armstrong,Republican,3350,21909.0,918.0,3917.0,2019-01-02 17:27:12+00:00,117.0,90.1417525773196,0.0759233926128591,0.1942544459644322,,,0.0759233926128591,0.1942544459644322,0.6433033113793998,9.99465279028822,6.822197390620491
RepDavids,1080516116395500032,Rep. Sharice Davids,Democrat,2420,70882.0,401.0,2642.0,2019-01-02 17:28:11+00:00,116.0,94.6936274509804,0.0595238095238095,0.2039337474120083,,,0.0595238095238095,0.2039337474120083,0.353280229846087,11.168771801585168,5.993961427306569
RepUnderwood,1080539438508401024,Rep. Lauren Underwood,Democrat,2850,121772.0,5740.0,3097.0,2019-01-02 19:00:52+00:00,117.0,95.275,0.0583941605839416,0.1829379562043795,,,0.0583941605839416,0.1829379562043795,0.2926896369494839,11.709905722772842,8.655214489313613
RepSherrill,1080569698536877952,Rep. Mikie Sherrill,Democrat,3553,67320.0,724.0,4112.0,2019-01-02 21:01:06+00:00,117.0,96.28343949044586,0.0476942514213518,0.1610865445356917,,,0.0476942514213518,0.1610865445356917,0.394821506877535,11.117212648304742,6.584791392385716
RepDavidTrone,1080573351914061952,Rep. David Trone,Democrat,3462,14336.0,1412.0,4480.0,2019-01-02 21:15:37+00:00,117.0,95.0,0.0639070442992011,0.1728395061728395,,,0.0639070442992011,0.1728395061728395,0.3276582720614703,9.570529135214711,7.252762418053187
RepMeuser,1080574793630526976,Congressman Dan Meuser,Republican,1797,17298.0,358.0,1907.0,2019-01-02 21:21:21+00:00,117.0,79.38577586206897,0.0950775455158462,0.1213755900202292,,,0.0950775455158462,0.1213755900202292,0.68210850394552,9.758346166866458,5.8805329864007
