party,mean,perc_2.5,perc_97.5,date
Independent,0.0671066933097588,0.0266666666666666,0.1222222222222222,2017-09-01
Republican,0.0936219561533867,0.0860858794384805,0.1019328585961342,2017-09-01
Democrat,0.0776379642159337,0.0696186332224212,0.0851599899218946,2017-10-01
Fake,0.053939999840247,0.0202702702702702,0.0885416666666666,2017-10-01
Independent,0.0867803468364531,0.03125,0.1527777777777778,2017-10-01
Republican,0.0958325381163495,0.0879804487891579,0.1026852846401718,2017-10-01
Democrat,0.1234305041010325,0.1155485752748485,0.1326599326599326,2017-11-01
Fake,0.0725649436114565,0.0384615384615384,0.1038961038961039,2017-11-01
Independent,0.135942078615694,0.0705882352941176,0.225,2017-11-01
Republican,0.1174238148173867,0.1101443543602926,0.1255085435313263,2017-11-01
Democrat,0.1416405124858317,0.1311095668288163,0.1541860465116279,2017-12-01
Fake,0.1055882084994346,0.0,0.2162162162162162,2017-12-01
Independent,0.081105186261699,0.0208333333333333,0.1428571428571428,2017-12-01
Republican,0.1287496619402336,0.1170707812882684,0.1396970425583072,2017-12-01
Democrat,0.1421814332153822,0.1334399431414356,0.1512902085542594,2018-01-01
Fake,0.0,0.0,0.0,2018-01-01
Independent,0.1212689234393052,0.0520833333333333,0.2,2018-01-01
Republican,0.1390346213228085,0.1306636885768985,0.1490773713175785,2018-01-01
Democrat,0.1547495465016121,0.1454462381967712,0.1640876359736479,2018-02-01
Fake,0.0,0.0,0.0,2018-02-01
Independent,0.1232091617633022,0.0625,0.2027027027027027,2018-02-01
Republican,0.1216350404210145,0.1143304620203602,0.1297128345379957,2018-02-01
Democrat,0.1380509312388535,0.1300442233278054,0.1463009143807148,2018-03-01
Fake,0.5458480913026368,0.0,1.0,2018-03-01
Independent,0.1310687238296892,0.0697674418604651,0.2,2018-03-01
Republican,0.1342091158921733,0.1266910711443578,0.1424907837794518,2018-03-01
Democrat,0.1546678237684292,0.1452770600057421,0.1629406706792777,2018-04-01
Fake,0.1020342262246858,0.0,0.2727272727272727,2018-04-01
Independent,0.1442161404650262,0.0789473684210526,0.2183908045977011,2018-04-01
Republican,0.1405938058523677,0.1312778130959949,0.1475409836065573,2018-04-01
Democrat,0.1339579370208226,0.1262098828323994,0.1414128649058511,2018-05-01
Fake,0.1115335344927181,0.0,0.4285714285714285,2018-05-01
Independent,0.0789674330930931,0.036144578313253,0.1428571428571428,2018-05-01
Republican,0.1347773448067271,0.1260333575054387,0.1424397370343316,2018-05-01
Democrat,0.1395313300060316,0.1313765839922019,0.1475267886134863,2018-06-01
Fake,0.0,0.0,0.0,2018-06-01
Independent,0.1843821701995134,0.1034482758620689,0.2758620689655172,2018-06-01
Republican,0.141225372955313,0.1328439838802533,0.1499930040576465,2018-06-01
Democrat,0.157578590460313,0.1491504854368932,0.1663861505169512,2018-07-01
Fake,0.1131610536044026,0.0294117647058823,0.225,2018-07-01
Independent,0.1549403670687362,0.0843373493975903,0.2432432432432432,2018-07-01
Republican,0.1415917339993568,0.1327474560592044,0.1500605693519079,2018-07-01
Democrat,0.1374758206828206,0.129302536231884,0.1437187073281748,2018-08-01
Fake,0.2600279462539524,0.0,0.5,2018-08-01
Independent,0.1313378542158866,0.04,0.2307692307692307,2018-08-01
Republican,0.135855382140622,0.1280036270213087,0.1427302339354456,2018-08-01
Democrat,0.1473817525685382,0.1411197315999161,0.1543885497789938,2018-09-01
Fake,0.1024724625798332,0.0,0.1875,2018-09-01
Independent,0.083931375814532,0.0259740259740259,0.1923076923076923,2018-09-01
Republican,0.1578078694121019,0.1513826366559485,0.1642587530912404,2018-09-01
Democrat,0.1457038642018219,0.1392679228936539,0.1507263051920034,2018-10-01
Fake,0.1902849876640561,0.0,0.375,2018-10-01
Independent,0.1331734678498189,0.0425531914893617,0.2209302325581395,2018-10-01
Republican,0.1506213560028268,0.1423085363177529,0.1577184953677866,2018-10-01
Democrat,0.1560326444726748,0.1484735834178213,0.162661326212728,2018-11-01
Fake,0.0,0.0,0.0,2018-11-01
Independent,0.1604667049564065,0.0634920634920634,0.2461538461538461,2018-11-01
Republican,0.1512261292139352,0.1409479686386315,0.1596001378834884,2018-11-01
Democrat,0.1572037699075759,0.1482444733420026,0.1665417759460472,2018-12-01
Fake,0.0,0.0,0.0,2018-12-01
Independent,0.1440923088500635,0.0684931506849315,0.2291666666666666,2018-12-01
